id,distrust_proba,neutral_proba,trust_proba,trust
3482,0.00024516734234870046,0.056029099378117495,0.9437257332795338,1
40854,0.004599041527473892,0.8771984178737051,0.11820254059882083,0
41293,6.552594425129272e-05,0.9987831023031511,0.0011513717525974685,0
2579,0.00010101826184336505,0.4558108007864124,0.5440881809517443,1
781,0.02374894105036286,0.07082188483848327,0.9054291741111538,1
31102,0.0005418150231627504,0.9931579343910805,0.006300250585756722,0
8474,2.561133036215165e-05,0.9874815154359208,0.012492873233717056,0
42825,0.0029167006017949155,0.9060522276048301,0.09103107179337504,0
15307,7.340278693725759e-05,0.9965712016971459,0.003355395515916871,0
6333,0.0007767290568453291,0.054479143804869394,0.9447441271382853,1
9066,9.644129649299658e-05,0.9925008593102705,0.007402699393236527,0
4976,0.003018207792493766,0.8728958668236786,0.12408592538382768,0
38149,2.2986685259606427e-05,0.9994791634629046,0.0004978498518357558,0
43799,6.730621047815987e-05,0.9994071726447367,0.0005255211447852592,0
34483,0.0011124430769360188,0.9684009648975291,0.030486592025534918,0
6310,8.630313839974876e-05,0.0744095386327291,0.9255041582288712,1
8231,0.00012364428079560087,0.9945395908918817,0.005336764827322705,0
31833,0.4805819921593536,0.4805409075443469,0.03887710029629958,-1
11586,0.0004536333097308782,0.05408769544994018,0.9454586712403289,1
20633,0.7516627212572855,0.24281014474659376,0.005527133996120662,-1
14830,7.236756634735693e-05,0.7556063044111702,0.2443213280224824,0
13128,0.00045518853801509215,0.03401628712354389,0.9655285243384409,1
15277,0.00023819026726705592,0.8202529858808202,0.17950882385191283,0
20295,0.8092847460785445,0.17315655693626228,0.017558696985193273,-1
9976,0.0008325333616925958,0.05854476992130052,0.9406226967170068,1
7147,0.0001693020678550046,0.9936300415608659,0.006200656371279177,0
41605,0.00010693187855713576,0.9954436250661872,0.004449443055255579,0
35965,0.9408700738144264,0.05701385704296285,0.002116069142610709,-1
2385,0.00017835615166989353,0.5330100789123116,0.4668115649360186,0
20067,0.0006279355884746671,0.033196347186344816,0.9661757172251805,1
2348,6.233656140476439e-05,0.9808614968090943,0.019076166629501044,0
14673,1.0625634655627953e-05,0.9965219552399355,0.003467419125408874,0
7040,0.8192282249593666,0.10074308408951442,0.08002869095111904,-1
35489,6.697054222851777e-05,0.9930194696613305,0.006913559796441065,0
41650,0.0001221023841933667,0.9950638527606749,0.004814044855131719,0
9830,8.659951559900529e-05,0.9373882606048156,0.06252513987958526,0
5657,0.002334227089870075,0.6433404015934882,0.3543253713166418,0
21933,4.0680090531918466e-05,0.994537793915521,0.005421525993947015,0
6442,0.00010208635642366436,0.6593868375979733,0.34051107604560304,0
13468,0.000762695417206895,0.039208689230354477,0.9600286153524387,1
38928,0.0402751661817693,0.3776762496262287,0.582048584192002,1
9880,0.0001147383670163485,0.024082734999503703,0.97580252663348,1
27905,0.00012152455548482931,0.9014640779249229,0.09841439751959215,0
32466,0.0002526346885677225,0.9650511064391143,0.03469625887231792,0
13098,0.00010884996256962064,0.9955765383377423,0.004314611699688114,0
14020,0.08177748903594884,0.5610775581051515,0.3571449528588998,0
9291,0.00010549865813400657,0.9970081348933333,0.0028863664485327604,0
32019,5.0008371186737434e-05,0.9450327653566479,0.05491722627216523,0
33901,0.79416784009012,0.1921668191252456,0.013665340784634453,-1
2007,0.01765136946349298,0.9552939439207495,0.027054686615757533,0
4393,0.0002188245727284963,0.9560744052570538,0.04370677017021785,0
44374,0.0005247012135707754,0.9973610346730591,0.002114264113369953,0
31955,0.00012896306598381024,0.9540332287932969,0.045837808140719256,0
27487,0.003229043765870243,0.04898540530994891,0.9477855509241807,1
33542,0.00010957784065570733,0.9883443502372024,0.011546071922141982,0
14165,0.0004837449356060238,0.028363595815625014,0.971152659248769,1
38425,0.00024288681185378558,0.9944942723036353,0.005262840884510792,0
30749,4.98647305306093e-05,0.9965758166716272,0.0033743185978422534,0
25356,0.0002375192667670691,0.9977927651050672,0.0019697156281659007,0
13152,5.625038981398612e-05,0.9983336002577811,0.001610149352405026,0
39251,0.0003134275074809829,0.9959882520102425,0.0036983204822765665,0
20532,5.5696569134395296e-05,0.9964928916310588,0.0034514117998067067,0
10009,4.302448845346435e-05,0.9864683118238472,0.013488663687699333,0
14222,8.097300563804937e-05,0.021798598134077758,0.9781204288602842,1
31926,0.024017146313817423,0.37576393631481125,0.6002189173713713,1
30591,0.041466246426173456,0.04066098447845117,0.9178727690953755,1
10754,0.018125178874946656,0.120042845162489,0.8618319759625643,1
12512,5.8888164708742294e-05,0.9849447894213271,0.01499632241396419,0
32630,8.112482624388954e-05,0.7909123315445353,0.20900654362922075,0
9024,0.0007643637224927088,0.04508683047386905,0.9541488058036383,1
38642,0.011827867644080402,0.8614124898254817,0.1267596425304379,0
33798,0.818587952546773,0.11846476132594821,0.06294728612727889,-1
43779,0.0002494138276751261,0.9983391150131203,0.001411471159204531,0
44495,0.00016107515191748198,0.9980630942840352,0.0017758305640473437,0
29594,0.004050126636211237,0.10193546769487195,0.8940144056689168,1
15119,0.00010598700657884936,0.9982645860812958,0.0016294269121253436,0
9464,3.807978835340612e-05,0.9964879762956017,0.003473943916044773,0
36457,0.001769260343197341,0.9899774537759262,0.00825328588087651,0
28025,0.0001971302277848657,0.8472980267429756,0.1525048430292397,0
25621,9.374189565883801e-05,0.016453108709490422,0.9834531493948507,1
2055,0.00014149789565885836,0.9835496398439372,0.016308862260403963,0
31101,0.0025715371742267845,0.8403635611483699,0.15706490167740336,0
41380,4.468577337679493e-05,0.9990698017233848,0.0008855125032386111,0
35663,4.9773491073237446e-05,0.9991843824849244,0.0007658440240025027,0
22125,0.005476103755274155,0.7713123245896398,0.22321157165508596,0
33907,6.559491565384956e-05,0.9713159708469999,0.028618434237346408,0
13697,0.00034429040125988255,0.9621817940153172,0.03747391558342295,0
42669,0.001185103640322348,0.18132548919751765,0.81748940716216,1
26441,4.9698515457851584e-05,0.3348241439515188,0.6651261575330233,1
8047,0.0011763930240714414,0.12757073912899058,0.871252867846938,1
32341,0.00010933586478030685,0.9989884699604276,0.0009021941747919896,0
19200,0.0003013497804957231,0.007769144981132079,0.9919295052383721,1
31680,0.000560720621243862,0.9948796491275308,0.004559630251225368,0
8293,6.329106804313657e-05,0.9982990881296022,0.001637620802354602,0
3931,0.00023026654289680593,0.6345287626327911,0.365240970824312,0
33547,0.0003352664856851733,0.9990992310969771,0.0005655024173377321,0
27372,0.0002716127382634068,0.931180648081699,0.06854773918003755,0
9744,0.0001299414483358451,0.9070872361195733,0.09278282243209078,0
20246,0.0011433783067067397,0.869865300055344,0.12899132163794919,0
481,0.0004312772780302745,0.008323839205854097,0.9912448835161156,1
2191,5.926155039631875e-05,0.9501566918415351,0.04978404660806856,0
13931,0.0010378873392126718,0.025550158003498136,0.9734119546572892,1
12239,5.014888179560672e-05,0.995217381870267,0.0047324692479373985,0
34541,0.770346815845342,0.17735080418377516,0.05230237997088278,-1
34053,0.00011688203484585732,0.9844198972387916,0.01546322072636269,0
13971,0.0004556654041496183,0.04980552394361266,0.9497388106522378,1
29272,0.000366943110611819,0.07266096742412571,0.9269720894652625,1
40412,0.8051514833080572,0.19278515042949423,0.002063366262448526,-1
42230,0.00019277286944070554,0.005976686660004268,0.9938305404705551,1
9424,0.002475547972920661,0.48150262773728125,0.516021824289798,1
6415,8.787409517886489e-05,0.02095537480705068,0.9789567510977705,1
35486,0.0004129295548414263,0.7661073432099251,0.23347972723523341,0
41129,0.001617351932655267,0.27037379465697164,0.728008853410373,1
1503,0.0004740527261543628,0.1628997701343546,0.8366261771394911,1
8125,8.974990999590928e-05,0.02534458154715151,0.9745656685428525,1
39981,7.88706958606142e-05,0.9866671541719565,0.013253975132182827,0
10344,2.0432591934808753e-05,0.9983719462883486,0.0016076211197167272,0
1770,9.473337767871254e-05,0.8756885370189567,0.12421672960336468,0
38136,0.0002812651876569501,0.9858977948864057,0.013820939925937265,0
31744,0.0001529234382983946,0.9896188826923282,0.010228193869373162,0
18787,0.014895302938426757,0.06776531654547736,0.917339380516096,1
41084,0.00018923600906017526,0.6521174741963325,0.3476932897946073,0
41342,0.00010481839818438335,0.9982319552998923,0.0016632263019231812,0
35103,2.1435743774646833e-05,0.9954471872133691,0.00453137704285609,0
43413,0.0038622273200642305,0.9626042174569093,0.033533555223026416,0
8054,0.0006606815475682956,0.14979023927803425,0.8495490791743975,1
30576,0.00012717929019665089,0.01522705666523211,0.9846457640445712,1
19166,4.298609648929532e-05,0.9990096775428867,0.0009473363606241188,0
12722,0.1261402275338788,0.06289987575140311,0.8109598967147181,1
25303,0.0007325067058980436,0.11531745711461981,0.8839500361794821,1
12030,5.854812608549035e-05,0.9809001114666702,0.01904134040724428,0
35604,7.956211383577796e-05,0.9991608635739767,0.0007595743121876015,0
22122,0.9205324927825057,0.070976318770291,0.008491188447203177,-1
34407,2.4771950458643373e-05,0.9905284248934847,0.009446803156056616,0
42476,0.01572484061096786,0.9730084754714586,0.011266683917573584,0
17250,0.6401915330279567,0.34030584985217516,0.019502617119868143,-1
8288,0.00016167154409070194,0.9968009946897033,0.003037333766205965,0
16699,0.010984350459891126,0.27668290729466044,0.7123327422454485,1
43803,0.0037139084871736622,0.8508535573410673,0.14543253417175905,0
38338,0.0002598495401979811,0.9504243233744833,0.04931582708531857,0
2182,0.9191512069410865,0.07396179774374238,0.006886995315171113,-1
34299,0.002534504402321334,0.2778848816352181,0.7195806139624605,1
7707,0.00017967657356727566,0.5137827586408574,0.4860375647855753,0
12479,0.0013677995116701104,0.4386316677758404,0.5600005327124895,1
19756,0.00021924267095235476,0.9921502998798598,0.007630457449187865,0
6776,0.8843657068379898,0.08254722517916024,0.033087067982849966,-1
40162,0.00028628238199811034,0.9959210096225805,0.003792707995421334,0
32595,5.405608140625039e-05,0.9993882399501454,0.0005577039684484661,0
11966,2.0136074179020834e-05,0.9967998502170549,0.003180013708766111,0
12786,2.5850915869208715e-05,0.9792723229245686,0.020701826159562082,0
22710,0.002159158813463899,0.06964232281966926,0.9281985183668667,1
23640,0.0001236915554929767,0.12116228092085243,0.8787140275236547,1
43285,0.0001401594661435082,0.9922589222244722,0.007600918309384219,0
9426,0.0035722543038229125,0.8976342850342077,0.09879346066196944,0
486,0.000665755653674298,0.0828628960313184,0.9164713483150072,1
27357,9.438015245111929e-05,0.02369519065545004,0.9762104291920989,1
5843,0.00018828790111999796,0.11192398092239303,0.887887731176487,1
29162,0.00012874062834879115,0.6510254324447096,0.34884582692694166,0
3339,2.3581623505971727e-05,0.9919565224997666,0.00801989587672749,0
17484,0.0043853654732325725,0.8196820256500761,0.17593260887669127,0
20770,0.07656502815722535,0.24124613249730997,0.6821888393454647,1
34459,7.626413521090558e-05,0.9938108039830365,0.006112931881752675,0
37750,3.564542674301619e-05,0.9988115983198659,0.0011527562533910221,0
8578,1.3838131248785942e-05,0.9900683455334728,0.009917816335278338,0
26963,1.1021349188867583e-05,0.03797359288619995,0.9620153857646111,1
43554,8.479694293384638e-05,0.9986395841923517,0.0012756188647145726,0
3953,2.7916994090402045e-05,0.9968221981204137,0.0031498848854959933,0
24397,9.331217079482933e-05,0.9902983128760366,0.009608374953168476,0
16377,0.0017116670015054586,0.01570576434666924,0.9825825686518254,1
42903,0.9603938669020491,0.037277624532588184,0.0023285085653628186,-1
1603,8.933216271826537e-05,0.8520869961933346,0.14782367164394714,0
25084,0.1550455564418268,0.47364080993314095,0.37131363362503234,0
12136,0.0018254971237252988,0.10737135047096832,0.8908031524053064,1
6282,0.00011892242350788287,0.008200138513535163,0.991680939062957,1
40003,4.333788514999039e-05,0.9991244332513173,0.0008322288635328676,0
37371,0.8455717388872306,0.14230806446593477,0.012120196646834669,-1
29101,0.004329097404545913,0.06432521144205496,0.9313456911533992,1
19246,0.0002567983168135243,0.12193987475302753,0.877803326930159,1
9270,0.00028941024926375355,0.1397735514984968,0.8599370382522394,1
18299,0.00016760110432335992,0.2506138595127971,0.7492185393828796,1
26854,0.00012908402256732736,0.010195136343912144,0.9896757796335205,1
43853,0.000107455997840034,0.9988889553982375,0.001003588603922506,0
37051,0.000548436453816692,0.5649592146717405,0.4344923488744428,0
10650,0.8868625693820338,0.09082985898960712,0.02230757162835907,-1
27848,8.91948274404081e-05,0.6959675116003653,0.3039432935721943,0
38731,0.01803937163256537,0.3954506878464834,0.5865099405209513,1
13629,7.538093594955748e-05,0.9619573617689556,0.03796725729509489,0
14712,0.0020035610800377664,0.8953342035542244,0.1026622353657378,0
31390,1.922084833184903e-05,0.999575662130239,0.00040511702142935507,0
38102,0.015082308470279386,0.9802985809246251,0.004619110605095524,0
8140,0.000170330912786809,0.5510474399239302,0.448782229163283,0
36556,0.8795563306660775,0.10183640792281318,0.01860726141110933,-1
4586,4.303580632276089e-05,0.9976937875392947,0.0022631766543825846,0
24564,9.042959845761492e-05,0.9862018081862344,0.013707762215307942,0
37181,7.919726658304956e-05,0.2530205361214094,0.7469002666120076,1
3510,0.208631731075438,0.32927915088809595,0.46208911803646613,1
35617,0.0004702411368183905,0.8248133683035674,0.17471639055961435,0
3217,0.0011325280467229272,0.05683961844136684,0.9420278535119102,1
8608,2.9397884909147847e-05,0.9983300425309545,0.0016405595841363758,0
38142,0.00012703388212060492,0.9987942886108475,0.001078677507032092,0
37500,0.0008754171440021129,0.6764792403555482,0.3226453425004497,0
25924,0.0004557606766344409,0.04939620991353979,0.9501480294098258,1
18739,0.00011223211478295252,0.051077585899366944,0.9488101819858501,1
